month,revenue,orders_count
2024-01,39596.51,1
2024-02,219843.92,7
2024-03,97694.51,8
2024-04,412804.03,13
2024-05,107836.76,5
2024-06,525305.29,18
2024-07,433505.17,21
2024-08,840933.94,26
2024-09,825224.62,30
2024-10,776243.94,30
2024-11,933127.62,35
2024-12,1201500.96,41
2025-01,1234838.23,39
2025-02,1147056.55,38
2025-03,1443268.38,45
2025-04,2026641.4,65
2025-05,1583838.5,57
2025-06,1873971.76,62
2025-07,1664262.23,65
2025-08,2737603.75,105
2025-09,2986339.11,105
2025-10,2886385.54,109
2025-11,4466061.08,157
2025-12,5450694.67,206
