product_id,product_name,category_name,units_sold,revenue
26,Cricket Bat,Sports & Fitness,187,1535288.7
48,Bookshelf 5-tier,Furniture,207,1516678.65
3,Smartwatch,Electronics,180,1488052.8
9,Non-stick Pan,Home & Kitchen,204,1391979.72
11,Air Fryer,Home & Kitchen,188,1329774.76
10,Electric Kettle,Home & Kitchen,182,1309611.94
45,Drawing Kit,Toys & Games,227,1270230.71
15,LED Table Lamp,Home & Kitchen,204,1237308.96
50,Bedside Table,Furniture,200,1230336.0
1,Wireless Earbuds,Electronics,155,1147094.55
c
